candidate,sourceBacked,wouldGenerateTrueReferenceAspect,wouldSaveScene,outputSize,method,status,notes,source,line,candidateKind,evidence,interpretation,safeForNoSceneSaveCapture
run_existing_BATTLE57_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE57 Rehydrate Source Backed AssetBundle Actors,blocked_existing_path_hardcoded_16x9_and_scene_save,"Source-backed actor rehydration remains useful, but not acceptable for BATTLE68 true aspect no-scene-save capture.",,,,,,
run_existing_BATTLE51_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE51 Restore Lua Bridge And Raycaster Registration,blocked_existing_path_hardcoded_public_call_and_scene_save,"Internal RenderCamera is dimension-flexible, but the exposed Build path is not.",,,,,,
use_BATTLE67_crop_as_final,False,False,False,1920x855 crop from 1920x1080,image crop/guide from existing PNG,forbidden_as_final_true_capture,BATTLE67 crop remains analysis-only and cannot stand in for runtime/GameView capture.,,,,,,
new_capture_only_editor_method_open_BATTLE57_scene_render_1920x855,True,True,False,1920x855,"Open existing BATTLE57 scene read-only, FindCaptureCamera, RenderTexture(width,height), camera.Render, restore targetTexture, do not SaveScene",generated,BATTLE68 capture-only editor method wrote only capture/report outputs and did not call SaveScene.,,,,,,
new_capture_only_editor_method_open_BATTLE51_scene_render_1280x570,True,True,False,1280x570,"Open existing BATTLE51/BATTLE57 context, RenderTexture(1280,570), camera.Render, no bridge/actor mutation",safe_candidate_plan_only_not_existing_public_path,May omit BATTLE57 runtime rehydrated actor objects unless BATTLE57 scene already contains them; should validate scene contents before use.,,,,,,
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,63391,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,63393,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69102,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69103,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69104,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69115,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69116,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69279,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69472,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,69474,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75192,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75193,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75194,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75205,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75206,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,75713,canvas_camera_binding,m_SortingOrder: 36,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,76517,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,77185,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,77187,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,82318,canvas_camera_binding,m_SortingOrder: 36,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,82723,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,82725,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,88030,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,88032,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,92972,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,92974,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,100766,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,100768,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,106113,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,106115,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,110980,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,110982,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,115911,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,115913,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,121730,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,121732,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,126646,canvas_camera_binding,m_SortingOrder: 30,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,126648,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131555,canvas_camera_binding,m_RenderMode: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131556,canvas_camera_binding,m_Camera: {fileID: 0},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131557,canvas_camera_binding,m_PlaneDistance: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131568,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131569,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131678,canvas_camera_binding,m_RenderMode: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131679,canvas_camera_binding,m_Camera: {fileID: 0},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131680,canvas_camera_binding,m_PlaneDistance: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131691,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131692,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131795,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,131797,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,136808,canvas_camera_binding,m_SortingOrder: 8,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138139,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138140,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138141,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138152,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138153,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138773,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,138775,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,144195,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,144197,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,149567,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,149569,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,154843,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,154844,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,154845,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,154856,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,154857,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,155351,canvas_camera_binding,m_SortingOrder: 3,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,155353,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,161005,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,161007,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,166085,canvas_camera_binding,m_SortingOrder: 80,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,166087,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
