local e=
{
ByIdx={
{10191001,0,"某日，{PlayerName}正在城下町散步。","某日，{PlayerName}正在城下町散步。","","어느 날, {PlayerName}님은 산책 중이었다.","ある日、{PlayerName}は城下町で散歩している。",0,0,"","","","","","","","","",""},
{10191012,1019,"嗯嗯，有必要把今天记录下来，\r\n之后是每一年的今天......\r\n啊不，是每个月的今天......每天的此时此刻......","嗯嗯，有必要把今天記錄下來，\r\n之後就是每一年的今天......\r\n啊不，是每個月的今天......每天的此時此刻......","","으음, 오늘 일기에 적어야겠어요... \r\n이후 매년 오늘같이... \r\n아니 아니, 매달 오늘같이라면...","まあ、今日という日を記念して、\r\nそれから毎年のこの日...\r\nいや、毎月のこの日...毎日のこの瞬間...",0,0,"","","","","","","","","",""},
{10191013,1019,"好棒啊......\r\n能和{PlayerName}大人一直一直在一起......","好棒啊......\r\n能和{PlayerName}大人一直一直在一起......","","너무 좋겠어요... \r\n{PlayerName}님과 계속 계속 같이 있을 수 있다면...","素晴らしい……\r\nずっと{PlayerName}様と一緒に居られるなんて……",0,0,"","","","","","","","","",""},
{10191014,1019,"诶？{PlayerName}大人，您的肩膀，\r\n是蹭到了什么灰尘吗？\r\n有些脏了呢......","誒？{PlayerName}大人，您的肩膀，\r\n是碰到了什麼灰塵嗎？\r\n有點髒了呢......","","에? {PlayerName} 대인님, 어깨에 \r\n먼지가 이렇게 묻으시다니. \r\n좀 더럽네요...","あれ？\r\n{PlayerName}様、肩にほこりがついているらしいですね\r\n少し汚れているね……",0,0,"","","","","","","","","",""},
{10191015,1019,"您也不知道怎么回事？\r\n啊啊......对不起，\r\n{PlayerName}大人......是我疏忽了......","您也不知道怎麼回事？\r\n啊啊......對不起，\r\n{PlayerName}大人......是我疏忽了......","","모르셨다고요? \r\n아아... 그렇군요. \r\n{PlayerName} 대인... 제가 좀 더 신경 쓸게요...","あなたもよくわからない？ああ……ごめんなさい、\r\n{PlayerName}様……私の油断です……",0,0,"","","","","","","","","",""},
{10191016,1019,"（看来......我要多做些准备才行呢......）","（看來......我要多做些準備才行呢......）","","(보니깐... 더 많은 준비가 필요해...)","（どうやら...\r\nもっと準備をしないといけないですね）",0,0,"","","","","","","","","",""},
{10191017,1019,"（而且，因为手上拿着太多东西，\r\n不能靠近{PlayerName}大人，为{PlayerName}大人清理掉那些脏东西......\r\n呜呜，实在是遗憾了......）","（而且，因為手上拿著太多東西，\r\n不能靠近{PlayerName}大人，為{PlayerName}大人清理掉那些髒東西......\r\n嗚嗚，實在是遺憾了......）","","(손에 물건이 너무 많아 \r\n가까이 있을 수도 {PlayerName} 대인님 먼지를 털어드릴 수 없다니... \r\n흑흑, 너무 아쉬워...)","（それに、手荷物が多いから、\r\n{PlayerName}様に近づけない、{PlayerName}様のお世話をしたいのに……\r\nうう、実に残念……）",31019121,31019122,"'你手里那些是什么？","","","손에 그것들은 뭐야?","何を持ってるの？","我帮你拿一些吧？","","","내가 좀 들어줄까?","手伝おうか？"},
{10191018,1019,"这怎么能行！您是做大事的人，怎么能把宝贵的体力浪费在这种事情上！您就回房间安心等着就好了，呵呵呵……","這怎麼能行！您是做大事的人，怎麼能把寶貴的體力浪費在這種事情上！您就回房間安心等著就好了，呵呵呵……","","안 돼요! 큰 일 하시는 대인님의 소중한 체력을 이런 곳에 쓰실 수 없죠! 방에서 기다리세요... 후후후...","そんなのだめに決まってるじゃない！あなたは偉業を成し遂げる者、こんなことで貴重な体力と時間を無駄遣いをしちゃダメだよ！部屋に戻って安心して待っていてくださいね、ふふふ......",0,0,"","","","","","","","","",""},
{10191019,1019,"这些？呵呵呵......现在要先保密呢，\r\n不过，我不会让您等待太久的...\r\n很快您就会知道了......呵呵呵......","這些？呵呵呵......現在要先保密呢，\r\n不過，我不會讓您等待太久的...\r\n很快您就會知道了......呵呵呵......","","이거요? 후후... 지금은 비밀이에요. \r\n너무 오래 기다리게 하지 않을게요... \r\n곧 아시게 될 거예요... 후후...","これ？うふふ……今は内緒\r\nでも、近いうちに分かるわ……\r\nきっとそんなに待たせないからね……ふふふ……",0,0,"","","","","","","","","",""},
{10191020,1019,"那么，晚点再见啦...\r\n我的{PlayerName}大人...呵呵呵......","那麼，晚點再見啦...\r\n我的{PlayerName}大人...呵呵呵......","","그러면 조금 있다 뵐게요... \r\n나의 {PlayerName} 대인님... 후후...","では、またあとでね...\r\n私の{PlayerName}様……ふふふ……",0,0,"","","","","","","","","",""},
{10191021,0,"到了晚饭的时间了。","到了晚飯的時間了。","","저녁 식사 시간이 되었다.","夕飯の時間",0,0,"","","","","","","","","",""},
{10191022,888,"我可以进来吗？","我可以進來嗎？","","들어가도 될까요?","入ってもいいかしら？",0,0,"","","","","","","","","",""},
{10191023,0,"还没等{PlayerName}回应，\r\n卧室的拉门被打开了。\r\n明智光秀抱着很多盒子走了进来。","還沒等{PlayerName}回應，\r\n臥室的拉門被打開了。\r\n明智光秀抱著很多盒子走了進來。","","{PlayerName}님이 대답도 하기 전에, \r\n욕실 문이 열렸다. \r\n미츠히데는 도시락통을 엄청나게 안고 들어왔다.","{PlayerName}はまだ返事してないのに、\r\n寝室の扉が開かれた。\r\n明智光秀がいくつもの箱を抱えて入ってきた。",0,0,"","","","","","","","","",""},
{10191024,1019,"唔？{PlayerName}大人，\r\n您这是，正准备去食堂吗？","唔？{PlayerName}大人，\r\n您這是，正準備去食堂嗎？","","에? {PlayerName} 대인, \r\n식당 가시려고요?","あれ？{PlayerName}様、\r\nそれは、食堂に行くところですか？",0,0,"","","","","","","","","",""},
{10191025,1019,"啊，已经是这个时间了啊......\r\n呼......看来刚刚好呢......呵呵呵......","啊，已經是這個時間了啊......\r\n呼......看來剛剛好呢......呵呵呵......","","아, 그렇네요... \r\n휴... 제가 딱 맞춰 왔네요... 후후후...","ああ、もうこんな時間……\r\nふう……丁度いい……ふふふ……",31019131,31019131,"什么刚刚好？","","","딱 맞춰 왔다니?","何が丁度いい？","你怎么直接闯进来了……","","","쳐들어 온 거잖아...","ノックもせずに入ってこないで……"},
{10191026,1019,"我正好为您亲手准备了一些饭菜，\r\n希望您能喜欢呢，呵呵呵......","我剛剛好為您親手準備了一些飯菜，\r\n希望您能喜歡呢，呵呵呵......","","제가 직접 대인님을 위해 음식을 만들어보았어요. \r\n좋아하셨으면 좋겠네요. 후후...","手料理を作ってきたの、\r\n気に入ってくれるといいね、ふふふ……",0,0,"","","","","","","","","",""},
{10191027,0,"明智光秀打开了一个个盒子，\r\n盒子中出现了各种各样从简朴到华丽的料理。","明智光秀打開了一個個盒子，\r\n盒子中出現了各種各樣從簡樸到華麗的料理。","","미츠히데는 하나씩 도시락통을 열었고 \r\n거기에는 각종 음식들이 들어있었다.","明智光秀は箱を開けると、\r\n様々な素質や豪華な料理が目に映る",0,0,"","","","","","","","","",""},
{10191028,1019,"饭团、烤红薯、烤鱿鱼、\r\n炖煮萝卜、白菜锅、味噌汤......","飯團、烤紅薯、烤魷魚、\r\n燉煮蘿蔔、白菜鍋、味噌湯......","","주먹밥, 군고구마, 오징어 꼬지, \r\n무 절임, 배추전, 미소국...","おにぎり、焼き芋、イカ焼き、\r\n大根の煮物、キャベツ鍋、味噌汁……",0,0,"","","","","","","","","",""},
{10191029,1019,"炖红薯、三明治、沙拉、\r\n荞麦面、烤秋刀鱼、汉堡肉、炸鸡块......","燉紅薯、三明治、沙拉、\r\n蕎麥面、烤秋刀魚、漢堡肉、炸雞塊......","","고구마 맛탕, 샌드위치, 샐러드, \r\n메밀, 갈치구이, 함박스테이크, 닭튀김...","さつまいもの煮物、サンドウィッチ、サラダ、\r\n蕎麦、サンマ焼き、ハンバーグ、唐揚げ……",0,0,"","","","","","","","","",""},
{10191030,1019,"红薯是我今天亲自挖出来的，秋刀鱼上的刺也被我一根根挑干净了。","紅薯是我今天親自挖出來的，秋刀魚上的刺也被我一根根挑乾淨了。","","고구마는 제가 오늘 직접 뽑았답니다. 갈치 가시는 제가 하나하나 다 발라냈어요.","芋は今日直接に掘り出されたものなの、サンマ焼きの背骨も全部抜いたし、",0,0,"","","","","","","","","",""},
{10191031,1019,"每一个饭团的馅料都不一样，\r\n不过请放心，\r\n都是您喜欢的东西......","每一個飯團的餡料都不一樣，\r\n不過請放心，\r\n都是您喜歡的東西......","","주먹밥 속재료도 다 다르게 준비했어요. \r\n걱정 마세요. \r\n좋아하시는 걸로 준비했어요...","おにぎりの具もそれぞれ違うし、\r\n全部あなたが好きなものだから……\r\n安心してください。",0,0,"","","","","","","","","",""},
{10191032,1019,"呵呵呵......里边还加了我们明智家祖传的秘药呢，\r\n比任何的精力剂都要有效呢......","呵呵呵......裡面還加了我們明智家祖傳的秘藥呢，\r\n比任何的精力劑都要有效呢......","","후후... 아, 그리고 저희 가문의 비법 재료를 넣었답니다. \r\n다른... (소근) 정력... 제보다 효과가...","ふふふ...また、明智家の秘薬も入れたので、\r\nどんな精力剤よりも効果抜群です……",0,0,"","","","","","","","","",""},
{10191033,1019,"啊啦，我说的太多了，\r\n您不要在意，放心地吃就好了。","啊啦，我說的太多了，\r\n您不要在意，放心地吃就好了。","","아하하, 지금 무슨 소리를. \r\n안심하고 맛있게 드세요.","あら、喋りすぎちゃった、\r\n気にしないで、\r\nどんどん食べてください。",31019141,31019141,"怎么可能会吃啊！","","","안심하고 먹을 수 없잖아!","食べるわけないだろ！","这也太沉重了！","","","좀 너무한데?!","これは重過ぎる！"},
{10191034,1019,"没想到您还是个任性的孩子呢......\r\n不过没关系，\r\n一会我会服侍您全部吃完的，呵呵呵......","沒想到您還是個任性的小孩子呢......\r\n不過沒關係，\r\n等一下我會服侍您全部吃完的，呵呵呵......","","이렇게 제멋대로이실 줄은 몰랐네요... \r\n괜찮아요. \r\n조금 있다가 다 드셔야 해요. 호호호...","こんなわがままの子だと思わなかった...\r\nでも大丈夫、料理を全部食べ終わるまで、\r\n私が側にいるから、ふふふ……",0,0,"","","","","","","","","",""},
{10191035,1019,"然后是这个。","然後是這個。","","그리고 이거요.","次はこれよ。",0,0,"","","","","","","","","",""},
{10191036,0,"明智光秀打开了另一个盒子，\r\n里边是各种各样的衣物。","明智光秀打開了另一個盒子，\r\n裡面是各式各樣的衣物。","","미츠히데 다른 상자를 열었고, \r\n안에는 온갖 옷들이 들어있었다.","明智光秀はもう一つの箱を開けた、\r\n様々な衣類が現れた。",0,0,"","","","","","","","","",""},
{10191037,1019,"您身为城主，\r\n就要有城主的样子才行呐。","您身為城主，\r\n就要有城主的樣子才行呐。","","성주로서 \r\n성주처럼 입으셔야죠.","城主らしく、\r\n身だしなみを整えるべし。",0,0,"","","","","","","","","",""},
{10191038,1019,"来来，我已经全部都为您准备好了，\r\n请您尽管穿吧！\r\n以后，也会为您准备更多......更多的..","來來，我已經全部都為您準備好了，\r\n請您儘管穿吧！\r\n以後，也會為您準備更多......更多的……","","빨리빨리요, 제가 다 준비했어요. \r\n어서 입어보세요! \r\n앞으로 제가... 준비해 드릴게요...","さてさて、すでにあなたのために全部用意したので、\r\nご遠慮なく着てください。\r\nこれからも、もっと……もっと用意するので……",31019151,0,"这么多衣服一定很贵吧?","","","엄청 비싼 옷 같은데?","服が高かったでしょう？","","","","",""},
{10191039,1019,"没有没有，{PlayerName}大人可能不知道吧，\r\n买布料的话其实很便宜的，\r\n虽然缝制的时候会比较费时间呢......","沒有沒有，城主大人可能不知道吧，\r\n買布料的話其實很便宜的，\r\n雖然縫製的時候會比較費時間呢......","","아니요, 성주님은 잘 모르실 거예요. \r\n옷감은 그렇게 비싸지 않아요. \r\n재단할 때 시간이 걸릴 뿐...","いえいえ、{PlayerName}様が知らないかもしれませんが、\r\n布を買えばとても安いですよ。\r\n縫製するにはちょっと手間がかかるけど……",0,0,"","","","","","","","","",""},
{10191040,1019,"因为是之前的时候，看到您的衣服脏了，\r\n我才想起，要准备衣服的......","因為是之前的時候，看到您的衣服髒了，\r\n我才想起，要準備衣服的......","","저번에 성주님 옷이 더러워진 걸 보고, \r\n옷을 준비해야겠다고 생각했어요...","この前、あなたのお洋服が汚れていたのを見て、\r\nそれで思いつきました、\r\nお洋服を用意しようと……",0,0,"","","","","","","","","",""},
{10191041,1019,"原本以为，\r\n时间上会来不及......","原本以為，\r\n時間上會來不及......","","하마터면 \r\n시간이 부족할 뻔... 우후훗.","本来は、\r\n時間的に間に合わないかと思っていました……",0,0,"","","","","","","","","",""},
{10191042,1019,"于是，我每缝一针，\r\n就给自己打气说：\r\n‘为了{PlayerName}大人，再缝一件吧！‘","於是，我每縫一針，\r\n就給自己打氣說：\r\n‘為了{PlayerName}大人，再縫一件吧！‘","","한 땀, 한 땀 재단할 때 \r\n대인님이 제가 만든 옷을 입는다는 상상을 하면서\r\n'하나만 더! 더 만들자고!'","ですが、\r\n一針縫うたびに、自分に元気付けていました、\r\n「{PlayerName}様のために、もう一着作ろう」と。",0,0,"","","","","","","","","",""},
{10191043,1019,"呵呵呵，结果，\r\n一不小心，我就多做了几件呢！","呵呵呵，結果，\r\n一不小心，我就多做了幾件呢！","","후훗, 그러다 보니 \r\n이렇게 많이 만들게 되었어요!","ははは、結局、\r\nつい作り過ぎちゃった",0,0,"","","","","","","","","",""},
{10191044,1019,"明天，我会把您的旧衣服都处理掉，\r\n到时候您就只能穿我手制的衣服了，\r\n呵呵呵......","明天，我會把您的舊衣服都處理掉，\r\n到時候您就只能穿我手制的衣服了，\r\n呵呵呵......","","내일 제가 낡은 옷들은 다 버리고 \r\n앞으로 직접 만든 수제옷만 입으세요. \r\n후후후...","明日、古い服を全部処分するから、\r\nこれからは私の手作りの服しか残らない。\r\nふふふ......",0,0,"","","","","","","","","",""},
{10191045,1019,"还有这个，\r\n请你一定要收好。","還有這個，\r\n請你一定要收好。","","그리고 이거! \r\n잘 간직하세요.","そしてこれを、\r\nぜひ持っておいてください。",0,0,"","","","","","","","","",""},
{10191046,0,"明智光秀从胸口掏出了一个护身符。","明智光秀從胸口掏出了一個護身符。","","미츠히데는 가슴 안쪽에서 부적을 꺼냈다.","明智光秀は胸からお守りを取り出した。",0,0,"","","","","","","","","",""},
{10191047,1019,"这个护身符可是我花了很大力气才做好的呢，\r\n不过我是那种没什么体毛的体质，可能效果没那么好呢......\r\n啊，下边凉飕飕的，感觉好奇怪......","這個護身符可是我花了很大力氣才做好的呢，\r\n不過我是那種沒什麼體毛的體質，可能效果沒那麼好呢......\r\n啊，下面涼颼颼的，感覺好奇怪......","","이 부적으로 말할 거 같으면 엄청난 노력 끝에 만들었어요. \r\n하지만 저같이 체모가 없는 사람은 효과가 없다고 하네요... \r\n그래서 제가 추위를 잘 타나봐요...","このお守りは作るのに手間がかかりました。\r\n私は体毛が少ない体質なので、効果は薄いかもしれません...\r\nああ、下がスース―する、不思議な感じですね……",0,0,"","","","","","","","","",""},
{10191048,1019,"撒，请您快点收下吧！","撒，請您快點收下吧！","","됐고, 얼른 받으세요!","さあ、早く受け取って！",0,0,"","","","","","","","","",""},
{10191049,1019,"啊嘞？您为什么要逃跑啊？\r\n呵呵呵，原来这就是您害羞的方式吗？\r\n啊，您越来越让我着迷了，{PlayerName}大人！","啊嘞？您為什麼要逃跑啊？\r\n呵呵呵，原來這就是您害羞的方式嗎？\r\n啊，您越來越讓我著迷了，{PlayerName}大人！","","에에? 도망은 왜 가시죠? \r\n후후후, 설마 부끄러우신 건가요? \r\n아, 정말이지 귀여우셔라. {PlayerName} 대인님!","あれ？どうして逃げるの？\r\nふふふ、デレちゃって可愛いね～\r\nああ、ますます好きになったわ、{PlayerName}様！",0,0,"","","","","","","","","",""},
{10191050,0,"那天，两人的追逐战持续到了很晚。","那天，兩人的追逐戰持續到了很晚。","","그날, 두 사람은 늦게까지 술래잡기를 했다.","二人の追いかけっこは、夜遅くまで続いだ。",0,0,"","","","","","","","","",""},
{10192001,0,"这天，{PlayerName}正在和宁宁一起更换床单。","這天，{PlayerName}正在和寧寧一起更換床單。","","이날, {PlayerName}님은 링링과 함께 이불보를 바꾸고 있었다.","この日、{PlayerName}はねねと一緒にシーツ交換をしている。",0,0,"","","","","","","","","",""},
{10192002,1005,"诶？{PlayerName}大人的枕套里，\r\n掉出来了一份信？","誒？{PlayerName}大人的枕套裡，\r\n掉出來了一份信？","","에? {PlayerName} 대인님 베개에서 \r\n편지가 나왔어요?","あれ？{PlayerName}様の枕カバーに、\r\n手紙が入っている",0,0,"","","","","","","","","",""},
{10192003,1019,"{PlayerName}大人，两周后的今天，\r\n就是人家的生日了......","{PlayerName}大人，兩周後的今天，\r\n就是人家的生日了......","","{PlayerName} 대인님, 이주 뒤 오늘이 바로 \r\n제 생일이랍니다...","{PlayerName}様、二週間後、\r\nあたしの誕生日です……",0,0,"","","","","","","","","",""},
{10192004,1019,"人家，想要那个啦......\r\n就是和{PlayerName}大人一起......","人家，想要那個啦......\r\n就是和{PlayerName}大人一起......","","저는... 그걸 하고 싶어요... \r\n{PlayerName}님과 같이...","あたし、あれが欲しいの……\r\n{PlayerName}様と一緒に……",0,0,"","","","","","","","","",""},
{10192005,1019,"呵呵呵，好害羞，\r\n就算人家不说，\r\n{PlayerName}大人也会明白的对吧！","呵呵呵，好害羞，\r\n就算人家不說，\r\n{PlayerName}大人也會明白的對吧！","","아아아, 부끄러워라. \r\n아무것도 아니에요. \r\n{PlayerName} 대인님, 말 안 해도 아시죠!","ふふふ、恥ずかしい、\r\nあたしが言わなくても、\r\n{PlayerName}様なら分かるでしょ？",0,0,"","","","","","","","","",""},
{10192006,1019,"那么，人家就好好期待一下吧，\r\n{PlayerName}大人对我的回应......","那麼，人家就好好期待一下吧，\r\n{PlayerName}大人對我的回應......","","그럼... 기다릴게요. \r\n{PlayerName} 대인님의 대답을...","それじゃ、あたし期待してるね、\r\n{PlayerName}様の返事を待ってます……",0,0,"","","","","","","","","",""},
{10192007,1005,"根据落款的日期推算，\r\n光秀桑的生日是......","根據落款的日期推算，\r\n光秀桑的生日是......","","편지에 써진 날짜로 계산을 하면 \r\n미츠히데님 생일은...","日付から推測すると、\r\n光秀さんの誕生日は……",0,0,"","","","","","","","","",""},
{10192008,1005,"明天！","明天！","","내일!","明日！",0,0,"","","","","","","","","",""},
{10192009,1005,"看来，要赶快给光秀桑准备生日礼物才行呢！\r\n{PlayerName}大人！","看來，要趕快給光秀桑準備生日禮物才行呢！\r\n{PlayerName}大人！","","얼른 미츠히데님 생일 선물을 준비하셔야죠! \r\n{PlayerName} 대인님!","どうやら、早く光秀さんのために\r\n誕生日プレゼントを用意しなくちゃ！{PlayerName}様！",31019211,31019211,"......光秀小姐没有在书信里说清呢......","","","... 아직 정확하게 써진 것도 아닌데...","……光秀さんの手紙は意味不明だな……","她想要什么生日礼物呢？","","","생일 선물로 뭐가 좋을까?","どんな誕生日プレゼントがいいだろう？"},
{10192010,1005,"呵呵，女孩子都是期望惊喜的嘛，\r\n我们来找大家一起商量一下吧！","呵呵，女孩子都是期望驚喜的嘛，\r\n我們來找大家一起商量一下吧！","","헤헤, 서프라이즈를 해준다고 생각해요! \r\n다같이 생각해봐요!","ふふ、女の子はサプライズが好きよ、\r\nみんなに相談しよう！",0,0,"","","","","","","","","",""},
{10192011,1005,"啊，对了，{PlayerName}大人，\r\n要记得悄悄地买礼物哦？\r\n这样光秀桑受到礼物，才会有惊喜感哦。","啊，對了，{PlayerName}大人，\r\n要記得悄悄地買禮物哦？\r\n這樣光秀桑受到禮物，才會有驚喜感哦。","","아, 맞아요. {PlayerName} 대인님, \r\n티나지 않게 몰래 사셔야 해요? \r\n그래야 미츠히데님이 더 놀라시죠!","あ、そうだ、{PlayerName}様、\r\n光秀さんにサプライズしたければ、\r\nプレゼントを買う時はこっそりでね？",0,0,"","","","","","","","","",""},
{10192012,1004,"一般女孩子都很喜欢小巧的东西吧？\r\n随便送个刀子、鞭子就好了吧？","一般女孩子都很喜歡小巧的東西吧？\r\n隨便送個刀子、鞭子就好了吧？","","보통 여자라면 당연히 작은 물건을 좋아하겠지?\r\n은장도, 채찍 같은거?","女の子は小さいものが好きよね？\r\nナイフやムチを贈ればいいんじゃないかな？",0,0,"","","","","","","","","",""},
{10192013,1001,"那个......总觉得兰丸大人对【女孩子喜欢的东西】，\r\n有什么误解......","那個......總覺得蘭丸大人對【女孩子喜歡的東西】，\r\n有什麼誤解......","","그... 란마루님의 '보통 여자'에 대해서 \r\n약간 오해가 있는 거 같은데요...","あの……蘭丸様「女の子が好きな物」について、\r\n何か誤解があるようですね……",0,0,"","","","","","","","","",""},
{10192014,1002,"茶茶的建议是团子哦！","茶茶的建議是團子哦！","","차차는 경단 선물!","茶々のお勧めはお団子だよ！",0,0,"","","","","","","","","",""},
{10192015,1005,"我觉得......我们还是应该参考光秀桑信件上的内容呢......","我覺得......我們還是應該參考光秀桑信件上的內容呢......","","제 생각에는... 편지에 적혀있는 내용을 참고하시는게...","やはり……光秀さんの手紙を参考しましょう……",0,0,"","","","","","","","","",""},
{10192016,1003,"唔......‘和{PlayerName}大人一起......‘，这句话，会不会是在提示说，\r\n之前，光秀桑和MyLord在一起做什么事的时候，\r\n她看到了的什么很喜欢的东西吗？","唔......‘和{PlayerName}大人一起......‘，這句話，會不會是在提示說，\r\n之前，光秀桑和MyLord在一起做什麼事的時候，\r\n她看到了的什麼很喜歡的東西嗎？","","음... '{PlayerName} 대인님과 같이...'라는 이 문장이 힌트인 거 같군요. \r\n예전에 미츠히데님과 My Lord가 같이 하실 때, \r\n어떤 걸 보고 좋아하셨나요?","ふむ……「{PlayerName}様と一緒に……」、この句から見れば、\r\n以前光秀さんとMyLordが一緒に何かをやった時、\r\n何か好きな物を見たのですか？",0,0,"","","","","","","","","",""},
{10192017,1003,"嗯？之前有在光秀桑的房间里看兔子玩偶？\r\n嗯...感觉确实很适合做生日礼物呢！","嗯？之前有在光秀桑的房間裡看兔子玩偶？\r\n嗯...感覺確實很適合做生日禮物呢！","","음? 미츠히데님 방에서 토끼 인형을 보셨다고요? \r\n음... 생일 선물로 딱이군요!","ん？以前、光秀さんの部屋で兎のぬいぐるみを見た？\r\nうん……誕生日プレゼントにピッタリかもね！",0,0,"","","","","","","","","",""},
{10192018,0,"经过一天的讨论，\r\n最终，女孩子们得出了这样的结论，\r\n光秀想要的生日礼物，是兔子。","經過一天的討論，\r\n最終，女孩子們得出了這樣的結論，\r\n光秀想要的生日禮物，是兔子。","","하루 종일 고심한 끝에 \r\n결국 여자들이 좋아할 말한 \r\n토끼 인형으로 결정했다.","一日かけて話し合った結果、\r\n光秀に贈る誕生日プレゼントは、\r\n兎のぬいぐるみに決めた。",0,0,"","","","","","","","","",""},
{10192019,0,"而{PlayerName}购买生日礼物的时间，\r\n也不得不被推迟到明天。","而{PlayerName}購買生日禮物的時間，\r\n也不得不被推遲到明天。","","{PlayerName}님은 생일 선물을 살 시간이 \r\n내일 밖에 없었다.","そして、{PlayerName}の誕生日プレゼントの購入は\r\n明日に延期された。",0,0,"","","","","","","","","",""},
{10192020,1019,"贵安，{PlayerName}大人，\r\n能够在早上见到您，\r\n实在是太好了...呢......","貴安，{PlayerName}大人，\r\n能夠在早上見到您，\r\n實在是太好了...呢......","","어머, {PlayerName} 대인님. \r\n아침에 이렇게 만나다니  \r\n정말 기뻐... 요...","ご機嫌よ、{PlayerName}様、\r\n朝から出会えるなんて、\r\n嬉しい……よ……",0,0,"","","","","","","","","",""},
{10192021,1019,"啊......\r\n{PlayerName}大人...很快速地......走掉了呢......\r\n怎么会这样呢......","啊......\r\n{PlayerName}大人...很快速地......走掉了呢......\r\n怎麼會這樣呢......","","아...  \r\n{PlayerName} 대인님... 께서 그냥 가시다니...  \r\n왜 그러시지...","ああ……\r\n{PlayerName}様……急いで行ってしまった……\r\n何で無視するの……",0,0,"","","","","","","","","",""},
