local e=
{
ByIdx={
{210761001,0,"平静的树林中，忽然响起一阵悲鸣。","고요한 숲 속에서 갑자기 흐느끼는 울음 소리가 들려왔다.","穏やかな森の中で突然、悲痛な叫び声が響いた。","静かな森の中で、突然悲鳴を上げてきた。","",0,0,"","","","","","","","","",""},
{210761012,1003,"这家伙，刚还一副要死不活的样子，现在一溜烟就不见了。","방금까지 걸을 힘도 없어 보이더니... 벌써 저기까지 달려가셨네요.","さっきまで死にそうな顔をしていたというのに、あんなに元気満々に走り出すなんて…","こいつ、さっきまで死にそうな顔していましたのに、今はこんなに元気満々になりましたとは…","",0,0,"","","","","","","","","",""},
{210761013,1005,"{PlayerName}大人，我们也快跟上去吧。","{PlayerName} 성주님, 저희도 빨리 가요~","{PlayerName}様、とりあえずついて行きましょう！","{PlayerName}様、とりあえずついて行きましょう！","",0,0,"","","","","","","","","",""},
{210761014,1005,"哇，好多人！","우와! 사람이 엄청 많네요!","わぁ！人がたくさん！","わぁ！人がいっぱい！","",0,0,"","","","","","","","","",""},
{210761015,1003,"这个度假村不是没什么人气么，不然也不会让My lord捡到优惠券，难道我们走错地方了？","음, 쿠폰을 그렇게 뿌리길래 장사가 안 되는 줄 알았는데... \r\n저희가 맞게 찾아온 건가요?","マイロードがクーポンを手に入れられたのは閑散としているからだと思っていたんですが、意外ですね。","僻地のリゾートだからマイロードが休暇券を取れると思いましたけど、意外でした。","",0,0,"","","","","","","","","",""},
{210761016,2044,"咦，几位难道不是来寻求湖中仙女的馈赠么？","거기 자네들도 호수의 정령에게 소원을 빌러 온 건가?","あれ、君たちは湖の精霊の導きを求めて来たわけじゃないのか？","あれ、あなたたちは湖の中の精霊の導きを求めに来たわけじゃないか？","",0,0,"","","","","","","","","",""},
{210761017,1008,"唔唔唔！","우물! 웁웁웁!","もがもがもご！","ううぅ！","",0,0,"","","","","","","","","",""},
{210761018,1003,"东西咽下去再说话！","음식 다 삼키고 말씀하세요!","先に食べ物を飲み込んでから話しなさい！","まずは食べ物を飲み込んでから話せ！","",0,0,"","","","","","","","","",""},
{210761019,1008,"唔唔！呼~~活过来了。小哥，你说的湖中仙女是什么呀？","웁웁... 꿀꺽! 후~ 목 막혀 죽을 뻔 했네~\r\n어, 근데 방금 호수의 정령이라고 하셨나요? 그게 뭐죠?","うぅ！ふー、生き返りました！それで、湖の精霊ってなんなんです？","うぅ！生き返った！それで、湖の中の精霊ってなに？","",0,0,"","","","","","","","","",""},
{210761020,2044,"原来你们真不知道啊……不过也难怪，湖中仙女毕竟才出现没多久，不知道也正常。","아, 모르나 보네. 뭐 그럴 만도 하지. 호수의 정령이 나타난지는 얼마 되지 않았으니깐.","本当に知らなかったのか…でもまあ、湖の精霊は最近現れたばかりだから、知らないのも当然かな。","あなたたちは本当に知らなかったんだね…でもまあ、湖の中の精霊は最近現れたばかりだから、知らないのも当然だ。","",0,0,"","","","","","","","","",""},
{210761021,2044,"那你们运气可真好，要是有幸能遇见湖中仙女，并与其交换到值钱的宝物，后半辈子荣华富贵也不是梦！","운이 정말 좋군~ 만약에 정령과 만나게 된다면 가치있는 보물과 꼭 교환해! \r\n운명을 바꿀 수 있는 일생일대의 기회니깐!","じゃあ君たち、めちゃくちゃラッキーだね。もし湖の精霊に出会えて、彼女の宝物を手に入れられたら、栄華を極めた人生を送れるぞ！","ではあなたたち、本当にラッキーだよね。もし湖の中の精霊に出会えて、彼女の宝物を手に入れば、栄華を極める人生を送られるぜ！","",0,0,"","","","","","","","","",""},
{210761022,1005,"所以，那个湖中仙女究竟是怎么回事呀？","저 그래서 호수의 정령이 대체 뭔가요...?","あの、結局湖の精霊ってなんなんですか？","あの、湖の中の精霊ってどういうことですか？","",0,0,"","","","","","","","","",""},
{210761023,2090,"咳，这就由老头子我来介绍吧！","흠... 그건 내가 설명해 주지!","コホン…それについてはわしが話してやろう。","コホン…では、わしが語ってやろうか。","",0,0,"","","","","","","","","",""},
{210761024,2090,"老头子我就是这幸福度假村的村民，要说这湖中仙女，还是老头子我的小孙子最先遇到的咧！","아, 그 전에 나는 이 별장촌의 주민일세. \r\n그리고 정령의 이야기는 내 손자가 직접 겪은 일이지.","わしはこのリゾートの住人なんじゃが、湖の精霊にはわしの孫が最初に出会ったんじゃ。","わしはこのリゾートの住人でね、湖の中の精霊といえば、やはりわしの孫が最初に出会ったんじゃ。","",0,0,"","","","","","","","","",""},
{210761025,2090,"那是在一个清晨，我的小孙子早早起床，往怀里塞了个饼就提着斧子进山去砍柴，却不小心把斧子掉到了湖里。","하루는 일찍 손자가 빵 하나를 주머니에 넣은 뒤, 도끼를 들고 산에 나무를 베러 올라 갔다네. \r\n그런데 실수로 도끼를 호수에 빠트리고 말았지...","ある日の朝、孫が早起きして、パンと斧を持って山へ薪を切りに行ったんじゃが…誤って湖に斧を落としてしまったのじゃ。","あれはある朝のことさ、孫が早起きして、パンと斧を持って山へ芝刈りに行ったんだが、つい湖に斧を落としちまったんだ。","",0,0,"","","","","","","","","",""},
{210761026,1008,"（小声）怎么有点耳熟。","(중얼 중얼) 이 이야기 어디서 들어본 거 같은데...","（ささやき声で）なんかどっかのお伽噺で聞いたことがある気がしますね…","（ささやき声で）なんかどこのお伽噺で聞いた気がする…","",0,0,"","","","","","","","","",""},
{210761027,2090,"就在那时，善良又慈悲的湖中仙女便现身了，她安慰了我那伤心的小孙子，然后……","그리고 그때! 자비롭고 인자한 호수의 정령이 눈 앞에 나타났지! \r\n울고 있는 손자를 위로해 주면서...","するとその時、湖の中から慈悲深い精霊が現れて、孫を慰めてくれたのじゃ。そして…","その時、優しい湖の中の精霊が現れて、孫を慰めてくれたんだ。それから…","",0,0,"","","","","","","","","",""},
{210761028,1008,"然后她问：你掉在湖里的是金斧头还是银斧头？","그리고 물었겠죠. 네가 호수에 빠트린 게 금도끼냐, 은도끼냐?","そして、彼女は金の斧と銀の斧のどちらを落としたかきいてきたんですか？","それから彼女は金の斧と銀の斧のどれかと聞いて？","",0,0,"","","","","","","","","",""},
{210761029,2090,"不是，是正在饿肚子的湖中仙女用金斧头和银斧头换了我那孙儿的饼，开心地吃了起来。","음? 아니. 정령은 금도끼와 은도끼를 다 주며 배고프다고 손자의 빵과 바꿔갔다네.","いや、それどころか、お腹をすかせた湖の精霊は金の斧と銀の斧を孫のパンと交換し、喜んで食べてしまったのじゃ。","いや、それどころか、お腹をすかせた湖の中の精霊が、金の斧と銀の斧で孫っ子のパンと交換し、喜んで食べたんじゃ。","",0,0,"","","","","","","","","",""},
{210761030,1008,"……哈？","......네에???","…はぁ？","…はぁ？","",0,0,"","","","","","","","","",""},
{210761031,2090,"哈哈哈，后来湖中仙女就在咱们村住下来了，时不时还会用各种宝物换取生活所需。","하하하! 그리고 그 뒤로 정령은 우리 마을에 머물며 생활 용품이랑 보물을 교환해 줬지.","ははは…そうして、その後湖の精霊はうちの村に住むことになったんじゃよ。ときどき宝物をわしらの生活必需品と交換してくださるのじゃ。","ははは…その後、湖の中の精霊はうちの村に住むことになったんだ。たびたび宝物で私たちに生活必需品と交換するでのぅ","",0,0,"","","","","","","","","",""},
{210761032,2090,"那些宝物虽然对仙女而言只是寻常东西，可对咱们凡人来说可都是值钱的宝贝啊！","정령이 주는 보물들은 정말 하나같이 엄청난 것들이었어.","その宝物は精霊にとっては普通のものかもしれないが、我々凡人にとっては高価な宝物なのじゃ！","その宝物は精霊にとっては普通のものかもしれないが、我々凡人にとっては高価な宝物だ！","",0,0,"","","","","","","","","",""},
{210761033,2090,"所以呢，我们村子一合计，这么好能与湖中仙女接触的机会可不多见，谁知道仙女会在这待多久呢？","그러니 자네들도 이 기회를 놓치지 말게나. 정령이 언제까지 여기 있지는 않을 거니깐.","精霊に会えるチャンスはそうそうないぞ。どれくらいここにいてくれるのかもわからないからのう。","精霊と接触できるチャンスはそうそうない。どれくらいここにいるのかなんてわからないんだからね。","",0,0,"","","","","","","","","",""},
{210761034,2090,"本着为乡亲们谋福利的原则，我们村就开放了觐见仙女的机会，希望能有更多人收获财富，实现人生梦想！","그래서 우리들은 많은 사람들이 만나길 바라는 마음에 별장촌 쿠폰들을 뿌렸던 거야.","なので村のみんなで考えて、精霊に会う機会を提供することにしたのじゃ。もっとたくさんの人が宝物を手に入れ、夢を実現できることを願っての。","だから、村のみんなで考えたら、精霊に会う機会を提供したんだ。もっとたくさんの人が宝物を手に入れ、理想を実現できることを願って。","",0,0,"","","","","","","","","",""},
{210761035,0,"老村长刚说完，屋大维就啪唧啪唧地鼓起了掌。","촌장의 말이 끝나자 옥타비아누스는 박수를 치기 시작했다.","村長が話を終えると、アウグストゥスはパチパチと手をたたいた。","村長が話を終えると、アウグストゥスはパチパチと手をたたいた。","",0,0,"","","","","","","","","",""},
{210761036,1008,"哇，你们真是好人！所以那个慷慨的湖中仙女在哪里？我这还有半张饼没吃完！","와! 정말 대단하시네요! 그래서 그 정령은 어디에 있나요?!\r\n마침 저한테 빵 한 쪽이 남아 있기는 한데...!","良い人ですねー！感動しました！それで、その精霊は今どこに？ここにまだ半分パンがあるんですが…","いい人だったよ！感動したよ！それであの精霊は今どこ？ここに残る半分のパンが…","",0,0,"","","","","","","","","",""},
{210761037,2044,"呵呵，你这丫头怎能真用饼来埋汰仙女！而且正所谓宝赠有缘人，我在这待了三四天还没见到湖中仙女呢，哪是你想见就能见的！","고작 그런 빵 쪼가리로 정령을 만날 생각을 하다니! \r\n나도 여기서 삼, 사일을 기다렸지만 정령의 머리카락조차 보지 못 했어!","宝物は縁のある者に贈られるらしい。ここに長い間滞在している俺が、まだ精霊に会えていないんだ。お前がすぐに会えるわけじゃないぞ！","宝物は縁のある者に贈られるという、私はここに長い間留まったのに、まだ精霊に会っていないんだ。お前が会いたいからといって、すぐに会えるわけじゃないだろう！","",0,0,"","","","","","","","","",""},
{210761038,1008,"欸？！","에에?!?!","えええ？！","えええ？！","",0,0,"","","","","","","","","",""},
{210761039,2090,"哈哈，虽然湖中仙女富有且慷慨，但人家毕竟是高高在上的仙人，怎么能随便一个人都能觐见呢？","허허... 정령을 어디 그렇게 쉽게 만날 수 있겠는가.","ははは、精霊は優しいが、誰でも簡単に会えるわけではないのじゃ。","ははは、精霊は優しいだが、誰でも簡単に会えるわけじゃないのじゃ。","",0,0,"","","","","","","","","",""},
{210761040,2090,"你看看这里这么多人，要是每个人都要见，仙女岂不是要忙死了？你说对不对。","자네들도 생각해 보게. 여기 있는 사람들을 다 만나야 한다면 나라도 자주 나타나지 않을 거야.","この村には人がたくさんおる。みんなが精霊に会えるなら、彼女は大忙しになってしまうじゃろ？","ここにいる人がたくさんいる、みんなが精霊に会えるなら、彼女は大忙しになっちゃうだろうね。","",0,0,"","","","","","","","","",""},
{210761041,1008,"是有些道理哦，那要怎么才能见呢？","그렇긴 하네요... 그럼 어떻게 해야 만날 수 있는데요?","そうですね…ではどうすれば…？","そうですね…ならどうすれば…？","",0,0,"","","","","","","","","",""},
{210761042,2090,"这首先嘛，就得看你心诚不诚了。你若是为利而来，那肯定会被高洁的仙女所不喜，不愿与你接触。","진실된 마음. 만약 한 치의 탐욕스러운 마음을 먹었다면... \r\n정령은 절대 나타나지 않을 거야.","まずは心を綺麗にすることが大事なんじゃ。もしお金目当てで来たんなら、お前さんたちは精霊に嫌われ、会いたいとは思われないじゃろうな。","まずは心を澄むのが大事なんじゃ。もしお金目当てで来たら、精霊に嫌われ、あなたとは付き合いたがらないよ。","",0,0,"","","","","","","","","",""},
{210761043,2090,"所以你得表现出不在乎钱，不差钱的姿态，表明你是诚心仰慕仙女不掺任何杂质，那自然就会被仙女瞧在眼里。","어떠한 사심도 없이 깨끗한 마음으로 정령을 부른다면 자연스럽게 정령도 당신들 앞에 나타날 걸세.","だから、お金に興味がないとか、お金がなくても平気なような態度を見せないとだめじゃ。そんな真摯な姿勢を見せれば、自然と精霊にも気に入られるさ。","だから、お金に興味がない、お金がなくても平気な態度を見せないとだめだ。その態度を持てば、精霊に気に入られるさ。","",0,0,"","","","","","","","","",""},
{210761044,2090,"你心越诚，被湖中仙女瞧得越多，那缘自然不就来了么？","자주 그런 마음가짐으로 정령과 만나게 된다면 친구가 될 수 있을지도?","心が美しくなればなるほど、精霊の目に留まる機会も増えて、縁も自然に引き寄せられるだろうね。","心が澄むほど、精霊の目に留まる機会も増えて、縁も自然にやってくるだろうね。","",0,0,"","","","","","","","","",""},
{210761045,2044,"没错！我已经在这把大半个身家都花出去了，感觉要不了多久就能遇见湖中仙女了！到时候……","맞아! 정령과 만나기 위해 여기서 전재산을 다 써버렸어. \r\n깨끗한 마음 가짐으로 정령과 만나게 된다면...!","なるほど！もうこの村でほとんど全財産使い果たしたし、もうすぐ精霊に会える気がするぞ！そしたら…","なるほど！それほど多いお金を払ったけど、すぐに精霊に会える気がした！その時…","",0,0,"","","","","","","","","",""},
{210761046,2044,"嘿嘿，嘿嘿嘿……不行不行！不能心存杂念，要诚心，诚心——","후후... 오오! 이런 잡념을 버려야 해...! 진실된 마음... 후~ 하~","へへ…へへへ…。ごほんっ…ダメだ、誠実に、誠実にーー","へへ…へへへ…コホン…ダメだ、心を純粋にーー","",0,0,"","","","","","","","","",""},
{210761047,2090,"不错不错，小伙子很有慧根，相信富贵就在眼前了。","요즘 젊은이답지 않게 똑똑하군. \r\n부귀영화를 위해 이렇게 인내를 하다니.","いいぞいいぞ、頑張れ小僧！","いいぞいいぞ、頑張れ小僧！","",0,0,"","","","","","","","","",""},
{210761048,2090,"至于你们几位，这可是天上掉馅饼的好事儿呢，多的老头子我也不说了，能不能把握住全看你们自己。","이건 정말 최고의 기회라네. 그러니 자네들도 꼭 그 기회를 잡을 수 있길 바라네!","まあ、会えるか会えないかは君次第だがね。","まあ、会えるか会えないかあなた次第だね。","",0,0,"","","","","","","","","",""},
{210761049,0,"说完，老村长和那个仍幻想着一夜暴富的男市民相继离开了。","그 말을 끝으로 촌장과 남자는 자리를 떠났다.","話を終えると、村長と男性はその場を離れていった。","話を終えると、村長と男性は相次いで離れた。","",0,0,"","","","","","","","","",""},
{210761050,1005,"感觉有些不靠谱呢。","흠, 정말 저 말이 사실일까요?","なんだか怪しいですね。","なんか怪しいですね。","",0,0,"","","","","","","","","",""},
{210761051,1003,"哼，什么湖中仙女一看就是骗人的把戏，也就屋大维这种智商的人会相信。","호수의 정령이라. 흠, 옥타비아누스 님 같은 사람들은 믿으실 수도 있겠네요.","湖の精霊なんて、嘘に決まっています。あれを信じてしまうのはアウグストゥスぐらいですよ。","湖の中の精霊って、嘘に決まっています。それを信じられるとは、アウグストゥスしかいませんね。","",0,0,"","","","","","","","","",""},
{210761052,1008,"喂，你什么意思啊！我，我也只是相信了一瞬间而已！","라, 란슬롯 님 그게 무슨 뜻이시죠?!","おい、どういう意味ですか！い…一瞬信じただけですよ！","おい、どういう意味なのよ！す…少しだけ信じただけですよ！","",0,0,"","","","","","","","","",""},
{210761053,1005,"{PlayerName}大人，这个地方感觉有些古怪，要不我们还是离开吧。","{PlayerName} 성주님, 좀 이상한 거 같죠? 그냥 다시 성으로 돌아갈까요?","{PlayerName}様、早くこの村から離れたほうがいいと思います。","{PlayerName}様、早く離れたほうがいいと思いますが。","",321076121,321076122,"湖中仙女……嘿嘿嘿。","호수의 정령... 와아... 헤헤헤.","湖の中の精霊…へへへ。","","","钱钱钱，我的，都是我的！","돈... 돈! 다 내 꺼야!","お金、宝物…全部私のもの…","",""},
{210761054,1005,"……这里很明显有问题啦！","... 정말 여기 뭔가 찜찜해요.","あんなの嘘に決まっていますよ！","それは嘘に決まっていますよ！","",0,0,"","","","","","","","","",""},
{210761055,1005,"{PlayerName}大人，你清醒一点！","{PlayerName} 성주님, 정신 차리세요!","{PlayerName}様、落ち着いてください！","{PlayerName}様、落ち着いて！","",0,0,"","","","","","","","","",""},
{210761056,1003,"……为什么我一点都不惊讶呢。","저런 말들을 믿는 사람들이 있군요.","…ああ、もう慣れましたよ。","…とっくに慣れましたわ。","",0,0,"","","","","","","","","",""},
{210761057,1008,"唔……啊！对对对，既然英明神武的主人大人都这样说了，那湖中仙女肯定是存在的！","... 에?! 똑똑한 성주님께서도 믿는 거라면 분명 정령은 존재하는 거예요!","む…そうです！聡明なご主人様がそう言うのですから！湖の精霊は必ず存在しますよ！","うぅ…そうです！英明たるご主人様もそう言ったら！湖の中の精霊が必ず存在しますよ！","",0,0,"","","","","","","","","",""},
{210761058,1008,"（等主人大人的钱被榨干，变成社会废人，我就自由啦！）","(후후... 돈을 이곳에서 다 써버리게 만든 뒤... 하극상을...!)","（城主様の財産が尽きて社会的信用を失えば、私は自由になれるはず！）","（城主様のお金を尽きた後、私は自由になれるはず！）","",0,0,"","","","","","","","","",""},
{210761059,1008,"那个老先生不是说要诚心嘛，宁宁快把钱拿出来，咱们这就去消费！","촌장님께서 진실된 마음이 필요하다고 했으니 빨리 수중에 있는 돈을 다 써버려야해요!","あの村長さんは、誠実な心を持つべきと言っていましたよね？寧々さん、早くお金を出して！そんなもの要らないんですよ！","あの村長は純粋な心を持つと言っただろう？寧々さん、早くお金を出せ！そんなもの要らないよ！","",0,0,"","","","","","","","","",""},
{210761060,1005,"可是……欸？","하지만... 음?","しかし…。…あれ？","しかし、あれ？","",0,0,"","","","","","","","","",""},
{210761061,1005,"直接溜进那些村民们住的地方？","몰래 주민들이 사는 곳에 들어가자구요?","村人が住んでいるところに直接忍び込むんですか？","直接に村に潜んで行くって？","",0,0,"","","","","","","","","",""},
{210761062,1005,"这，这可以么……","그, 그래도 될까요...","これは…本当にいいんでしょうか…。","これは…本当にいいですか？","",0,0,"","","","","","","","","",""},
{210761063,1005,"哇，这个房子好大，不愧是村子的。","와... 이 집 엄청 넓네요! 역시 별장촌이라 그런가...","大きい建物ですね…さすがはこの村の…","でかい建物ですね…さすがに村の看板…","",0,0,"","","","","","","","","",""},
{210761064,1008,"其他地方都找遍了，要是湖中仙女真的存在，肯定就在这里！","저라도 정령이라면 이곳으로 오지 않을까요?!","もし湖の精霊が本当に存在するのなら、ここに決まっています！","もし湖の中の精霊が本当に存在したら、ここにいるに決まっている！","",0,0,"","","","","","","","","",""},
{210761065,1003,"咕，没想到我堂堂骑士也做出了这等偷鸡摸狗之事……","윽, 기사단인 제가 이런 불법적인 일에 가담하게 되다니...!","騎士としてあるまじきことを…","騎士としてあるまじきことを…","",0,0,"","","","","","","","","",""},
{210761066,1008,"哈哈，一回生二回熟啦~","풉~ 란슬롯 님, 처음이 어렵지. 다음부터는 괜찮을 거예요.","まあまあ、つきあってくださいよ～。","まあまあ、始めが大事～","",0,0,"","","","","","","","","",""},
{210761067,2182,"咦，你们不是……？","... 당신들은...?","あれ、あなたたちは…？","あれ、あなたたちは…？","",0,0,"","","","","","","","","",""},
{210761068,0,"这时，一个有些熟悉的声音突兀的在几人身后响起。","이때, 익숙한 목소리가 성주님과 일행 뒤로 들려왔다.","その時突然、背後からどこか懐かしい声が響いた。","その時、少し懐かしい声が突然、数人の後ろで響き渡った。","",0,0,"","","","","","","","","",""},
{210762001,0,"在度假村，{PlayerName}等人遇到了意想不到的人。","별장촌에서 {PlayerName} 님과 일행은 예상치 못한 인물과 만나게 되었다.","リゾート地で、{PlayerName}は意外な人物と出会ったのだ。","","",0,0,"","","","","","","","","",""},
{210762002,1005,"没想到传说中的湖中仙女，居然就是布伦希尔德小姐！","호수의 정령이 브륀힐드 님 이었다니... 정말 생각지도 못 했어요!","まさか湖の精霊がブリュンヒルドさんだったなんて！","","",0,0,"","","","","","","","","",""},
{210762003,21076,"哈哈，能在这见到你们，我也很意外呢！","저도 여기서 이렇게 만나게 될 줄이야...!","えへへ、まさかこんなところで出会うとは！","","",0,0,"","","","","","","","","",""},
{210762004,21076,"这大概就是所谓的缘分吧！","이게 바로 인연이라는 거겠죠?!","これがいわゆる、縁というものですね！","","",321076211,321076212,"没错，全靠我哦！","역시. 내 선택은 틀리지 않았어!","そうだよ、全部俺のおかげなんだ！","","","布伦希尔德小姐，好久不见~","브륀힐드, 오랫만이네.","久しぶりだね、ブリュンヒルドさん。","",""},
{210762005,21076,"{PlayerName}先生还是这么有活力呢~","{PlayerName} 님은 여전하시네요~","{PlayerName}さんは相変わらず元気ですね～。","","",0,0,"","","","","","","","","",""},
{210762006,21076,"今天我做客，请你们在这好好玩玩吧~","제 손님이시니 오늘은 여기서 마음껏 즐기셔도 되세요~","今日はあたしが奢りますから、楽しんでいってくださいね。","","",0,0,"","","","","","","","","",""},
{210762007,1003,"说起来，布伦希尔德你不是正在游历各国么，怎么变成这里的“湖中仙女”了？","그나저나 브륀힐드 님, 여행 중이라고 들었는데. \r\n어떻게 이곳 별장촌의 정령이 되신 겁니까?","そういえば、ブリュンヒルドさんは旅の途中ではなかったでしたっけ。どうしてここの「湖の精霊」になっているんですか？","","",0,0,"","","","","","","","","",""},
{210762008,1008,"对啊对啊！还有个什么金银斧头的故事，到底是怎么回事呀？","맞아요! 그리고 그 금도끼 은도끼 산신령 이야기는 대체 뭐예요?!","そうそう、そうですよね！あの金の斧と銀の斧の話、何があったんです？","","",0,0,"","","","","","","","","",""},
{210762009,21076,"哈哈，其实事情是这样的啦——","하하하, 그게 말이죠~","えっへへ～。実はですねーー","","",0,0,"","","","","","","","","",""},
{210762010,0,"随着布伦希尔德地讲诉，她与这个度假村的故事被娓娓道来。","브륀힐드는 별장촌에서 있었던 일에 대해 차근차근 설명하기 시작했다.","ブリュンヒルドとこのリゾートの物語が語れるー。","","",0,0,"","","","","","","","","",""},
{210762011,21076,"半个月前我遇到一群劫路的强盗，因为不想惹麻烦就绕了个远路，却意外迷路还把干粮给弄丢了。","보름 전이었나 강도를 피하다가 길을 잃어버렸죠.\r\n근데 또 식량 가방까지 잃어버렸지 뭐예요...","半月前強盗に遭って、面倒事を避けるために遠回りしていたんです。そうしたら迷子になってしまい、食べ物までなくしてしまって…。","","",0,0,"","","","","","","","","",""},
{210762012,21076,"后来我游荡到了这附近，遇到了村子里的小孩，那小孩见我饿了就把他的饼给了我。","그렇게 이 별장촌에 들어왔는데 배고픈 저를 위해 한 아이가 빵을 주더라구요~","その後この辺りをさまよっていたら、村の子供に出会いまいた。その子は自分のパンをくれたんです！","","",0,0,"","","","","","","","","",""},
{210762013,1005,"那金银斧头的事？","음, 그럼 대체 금도끼와 은도끼는 뭐죠?","あの金の斧と銀の斧の話でしょうか？","","",0,0,"","","","","","","","","",""},
{210762014,21076,"哎呀~我也不能白拿小孩子的东西呀，总得回报点什么。","아하핫~ 그거야 빵을 공짜로 받을 수는 없으니 뭐라도 보답하려고...","まあ、タダで子供の食べ物をもらうわけにもいけませんし、何かお返ししないといけないなと思って…","","",0,0,"","","","","","","","","",""},
{210762015,21076,"瞧那孩子一副樵夫的打扮，于是我灵机一动，就参考听到过的故事拿了一金一银两把斧子给那小孩。","아이가 나무꾼처럼 보이길래 예전에 들었던 이야기를 참고해\r\n그렇게 제 보물을 아이에게 전해준 거랍니다.","その子供は農家の子のようだったので、お伽噺を真似て金の斧と銀の斧をその子に渡しました。","","",0,0,"","","","","","","","","",""},
{210762016,21076,"本来只是觉得有趣啦，没想到却把村子里的人都惊动了。","재미로 했던 일이었는데 마을 사람들이 그렇게 놀라실 줄은 몰랐죠~","ただ面白半分でやっただけだったんですが…それが村の人たちの間で騒ぎになってしまって。","","",0,0,"","","","","","","","","",""},
{210762017,21076,"村民们实在太热情，再加上我也需要问问路，所以就跟着到这个村子里来了。","사람들도 너무 좋기도 하고... 그러다보니 여기에 잠시 머물게 되었답니다.","村人は本当に熱心で親切でしたし、道を尋ねる必要もあったので、私はこの村に招待されてやってきたんです。","","",0,0,"","","","","","","","","",""},
{210762018,1005,"原来是这样啊！","아, 그랬던 거군요!","なるほど！","","",0,0,"","","","","","","","","",""},
{210762019,1008,"你后来又是怎么变成那什么湖中仙女的啊？","근데 왜 호수의 정령으로 불리게 된 건가요?","しかし、どうして湖の精霊に…？","","",0,0,"","","","","","","","","",""},
